time_ms,V_mV,m,h,n,I_inj_uA_per_cm2
1.46,-64.99539251591554,0.05295749868062816,0.5961064727785262,0.3176863679627104,0.0
1.47,-64.99536971171133,0.052957657016181416,0.5961063003167645,0.31768648000232047,0.0
1.48,-64.99534701801299,0.05295781467844212,0.5961061271208572,0.3176865924769652,0.0
1.49,-64.99532443479396,0.05295797166672057,0.5961059531962047,0.3176867053827451,0.0
1.5,-64.99530196202605,0.05295812798036296,0.5961057785481999,0.3176868187157688,0.0
1.51,-64.99527959967946,0.05295828361875032,0.5961056031822282,0.31768693247215263,0.0
1.52,-64.9952573477228,0.052958438581297444,0.5961054271036672,0.31768704664802094,0.0
1.53,-64.995235206123,0.05295859286745191,0.5961052503178873,0.317687161239506,0.0
1.54,-64.99521317484538,0.052958746476693117,0.596105072830251,0.31768727624274823,0.0
1.55,-64.99519125385359,0.05295889940853138,0.5961048946461134,0.3176873916538959,0.0
1.56,-64.99516944310966,0.052959051662507056,0.5961047157708212,0.31768750746910557,0.0
1.57,-64.99514774257393,0.052959203238189714,0.596104536209714,0.3176876236845417,0.0
1.58,-64.99512615220512,0.05295935413517735,0.5961043559681232,0.3176877402963769,0.0
1.59,-64.99510467196023,0.05295950435309559,0.596104175051372,0.31768785730079213,0.0
1.6,-64.99508330179465,0.05295965389159702,0.596103993464776,0.31768797469397636,0.0
1.61,-64.99506204166205,0.05295980275036043,0.5961038112136425,0.3176880924721268,0.0
1.62,-64.99504089151445,0.052959950929090185,0.5961036283032709,0.3176882106314491,0.0
1.6300000000000001,-64.9950198513022,0.05296009842751558,0.596103444738952,0.3176883291681569,0.0
1.6400000000000001,-64.99499892097397,0.05296024524539023,0.596103260525969,0.3176884480784725,0.0
1.6500000000000001,-64.99497810047673,0.052960391382491485,0.5961030756695961,0.3176885673586264,0.0
1.6600000000000001,-64.99495738975581,0.05296053683861986,0.5961028901750997,0.31768868700485736,0.0
1.67,-64.99493678875484,0.052960681613598515,0.5961027040477374,0.31768880701341273,0.0
1.68,-64.99491629741578,0.05296082570727274,0.5961025172927584,0.31768892738054827,0.0
1.69,-64.99489591567891,0.05296096911950946,0.5961023299154037,0.31768904810252824,0.0
1.7,-64.99487564348284,0.052961111850196765,0.5961021419209053,0.3176891691756254,0.0
1.71,-64.9948554807645,0.05296125389924346,0.5961019533144867,0.317689290596121,0.0
1.72,-64.99483542745917,0.05296139526657863,0.5961017641013626,0.31768941236030496,0.0
1.73,-64.99481548350042,0.05296153595215122,0.5961015742867392,0.31768953446447573,0.0
1.74,-64.9947956488202,0.05296167595592967,0.5961013838758135,0.31768965690494044,0.0
1.75,-64.99477592334877,0.05296181527790147,0.5961011928737737,0.3176897796780149,0.0
1.76,-64.99475630701473,0.05296195391807285,0.5961010012857993,0.3176899027800236,0.0
1.77,-64.99473679974501,0.05296209187646843,0.5961008091170608,0.3176900262072998,0.0
1.78,-64.99471740146492,0.052962229153130834,0.5961006163727192,0.31769014995618544,0.0
1.79,-64.9946981120981,0.0529623657481204,0.5961004230579267,0.31769027402303135,0.0
1.8,-64.99467893156655,0.05296250166151488,0.5961002291778262,0.31769039840419716,0.0
1.81,-64.99465985979062,0.052962636893409104,0.5961000347375517,0.3176905230960513,0.0
1.82,-64.994640896689,0.052962771443914716,0.5960998397422275,0.3176906480949711,0.0
1.83,-64.99462204217879,0.052962905313159905,0.5960996441969686,0.31769077339734286,0.0
1.84,-64.99460329617543,0.05296303850128912,0.5960994481068809,0.31769089899956177,0.0
1.85,-64.99458465859276,0.05296317100846281,0.5960992514770606,0.317691024898032,0.0
1.86,-64.99456612934297,0.05296330283485721,0.5960990543125944,0.3176911510891668,0.0
1.87,-64.99454770833667,0.05296343398066406,0.5960988566185594,0.31769127756938825,0.0
1.8800000000000001,-64.99452939548283,0.05296356444609042,0.5960986584000233,0.3176914043351277,0.0
1.8900000000000001,-64.99451119068883,0.05296369423135841,0.5960984596620439,0.3176915313828256,0.0
1.9000000000000001,-64.99449309386046,0.052963823336705025,0.5960982604096693,0.31769165870893123,0.0
1.9100000000000001,-64.99447510490191,0.05296395176238191,0.5960980606479378,0.31769178630990336,0.0
1.92,-64.99445722371578,0.05296407950865517,0.596097860381878,0.31769191418220977,0.0
1.93,-64.99443945020312,0.052964206575805195,0.5960976596165083,0.3176920423223274,0.0
1.94,-64.99442178426335,0.05296433296412645,0.5960974583568376,0.31769217072674255,0.0
1.95,-64.99440422579437,0.052964458673927295,0.5960972566078644,0.31769229939195065,0.0
1.96,-64.9943867746925,0.05296458370552985,0.5960970543745774,0.3176924283144565,0.0
1.97,-64.9943694308525,0.05296470805926978,0.5960968516619549,0.3176925574907741,0.0
1.98,-64.99435219416759,0.05296483173549617,0.5960966484749655,0.3176926869174269,0.0
1.99,-64.99433506452945,0.052964954734571336,0.596096444818567,0.3176928165909477,0.0
2.0,-64.99431804182822,0.052965077056870716,0.5960962406977075,0.31769294650787866,0.0
2.0100000000000002,-64.9943011259525,0.05296519870278268,0.5960960361173244,0.3176930766647713,0.0
2.02,-64.99428431678939,0.0529653196727084,0.596095831082345,0.3176932070581867,0.0
2.0300000000000002,-64.99426761422446,0.05296543996706174,0.5960956255976859,0.3176933376846953,0.0
